State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,STATE_UT_NAME,DISTRICT,ANNUAL
GUJARAT,AMRELI,Damnagar,Coriander(Leaves),Coriander,FAQ,19/05/2025,2200,3050,2850,GUJARAT,AMRELI,567.3
GUJARAT,AMRELI,Savarkundla,Bengal Gram(Gram)(Whole),Average (Whole),Non-FAQ,19/05/2025,5305,5525,5390,GUJARAT,AMRELI,567.3
GUJARAT,AMRELI,Savarkundla,Castor Seed,Castor seed,FAQ,19/05/2025,5500,5970,5750,GUJARAT,AMRELI,567.3
GUJARAT,ANAND,Khambhat(Grain Market),Paddy(Dhan)(Common),Other,FAQ,19/05/2025,1700,2050,1900,,,
GUJARAT,ANAND,Khambhat(Grain Market),Paddy(Dhan)(Common),Paddy,FAQ,19/05/2025,2500,3150,2900,,,
GUJARAT,BANASKANTH,Vadgam,Mustard,Other,FAQ,19/05/2025,5555,5555,5555,,,
GUJARAT,BHARUCH,Jambusar(Kaavi),Bajra(Pearl Millet/Cumbu),Other,FAQ,19/05/2025,2400,2800,2600,GUJARAT,BHARUCH,824.9
GUJARAT,GANDHINAGAR,Mansa(Manas Veg Yard),Bottle gourd,Other,FAQ,19/05/2025,500,500,500,GUJARAT,GANDHINAGAR,752.7
GUJARAT,GANDHINAGAR,Mansa(Manas Veg Yard),Cucumbar(Kheera),Other,FAQ,19/05/2025,1000,2000,1500,GUJARAT,GANDHINAGAR,752.7
GUJARAT,GANDHINAGAR,Mansa(Manas Veg Yard),Tomato,Other,FAQ,19/05/2025,2000,2000,2000,GUJARAT,GANDHINAGAR,752.7
GUJARAT,JUNAGARH,Mangrol,Bengal Gram(Gram)(Whole),Desi (F.A.Q. Split),FAQ,19/05/2025,5350,5450,5425,,,
GUJARAT,NAVSARI,Bilimora,Tomato,Other,FAQ,19/05/2025,1000,2000,1500,,,
GUJARAT,RAJKOT,Dhoraji,Arhar (Tur/Red Gram)(Whole),Local,Non-FAQ,19/05/2025,6055,6955,6805,GUJARAT,RAJKOT,579.1
GUJARAT,RAJKOT,Rajkot(Veg.Sub Yard),Bhindi(Ladies Finger),Bhindi,FAQ,19/05/2025,700,1800,1250,GUJARAT,RAJKOT,579.1
GUJARAT,RAJKOT,Rajkot(Veg.Sub Yard),Onion,Onion,FAQ,19/05/2025,150,1075,700,GUJARAT,RAJKOT,579.1
GUJARAT,RAJKOT,Rajkot(Veg.Sub Yard),Tomato,Tomato,FAQ,19/05/2025,1000,2000,1500,GUJARAT,RAJKOT,579.1
GUJARAT,SABARKANTHA,Modasa(Tintoi),Maize,Hybrid Red (Cattle Feed),Non-FAQ,19/05/2025,1700,2100,2100,GUJARAT,SABARKANTHA,816.3
GUJARAT,SURAT,Mahuva(Anaval),Mango,Totapuri,Medium,19/05/2025,1750,2250,2000,GUJARAT,SURAT,1304.7
GUJARAT,SURAT,Mahuva(Anaval),Pointed gourd (Parval),Other,FAQ,19/05/2025,2800,3000,2900,GUJARAT,SURAT,1304.7
GUJARAT,SURAT,Surat,Cauliflower,Other,FAQ,19/05/2025,2500,6000,4250,GUJARAT,SURAT,1304.7
GUJARAT,SURAT,Surat,Onion,Other,FAQ,19/05/2025,600,2100,1350,GUJARAT,SURAT,1304.7
GUJARAT,SURAT,Surat,Ridgeguard(Tori),Other,FAQ,19/05/2025,3000,5500,4250,GUJARAT,SURAT,1304.7
GUJARAT,SURENDRANAGAR,Dhragradhra,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,19/05/2025,17900,20275,20000,GUJARAT,SURENDRANAGAR,534.6
GUJARAT,SURENDRANAGAR,Dhragradhra,Green Gram (Moong)(Whole),Green (Whole),FAQ,19/05/2025,8000,8000,8000,GUJARAT,SURENDRANAGAR,534.6
GUJARAT,SURENDRANAGAR,Dhragradhra,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,19/05/2025,7400,8950,8250,GUJARAT,SURENDRANAGAR,534.6
GUJARAT,SURENDRANAGAR,Dhragradhra,Suva (Dill Seed),Suva (Dill Seed),FAQ,19/05/2025,5000,6840,6500,GUJARAT,SURENDRANAGAR,534.6
